,a,abbr,b,footer,form,h1,h2,h3,head,i,input,label,li,nav,p,small,span,sub,tbody,title,tr,ul
418,,,,,,,,,,,,,Nominate an article,,,,,,,,,
419,,,,,,,,,,,,,"Aung San Suu Kyi (pictured), the State Counsellor of Myanmar, is detained by the military in a coup d'état.",,,,,,,,,
420,,,,,,,,,,,,,A coordinated short squeeze targeting American hedge funds causes GameStop's stock price to spike.,,,,,,,,,
421,,,,,,,,,,,,,"Kaja Kallas becomes the first female Prime Minister of Estonia, following the resignation of Jüri Ratas.",,,,,,,,,
422,,,,,,,,,,,,,"In Russia, protests against the arrest of Alexei Navalny occur in more than 120 towns and cities.",,,,,,,,,
423,,,,,,,,,,,,,COVID-19 pandemic,,,,,,,,,
424,,,,,,,,,,,,,Indian farmers' protest,,,,,,,,,
425,,,,,,,,,,,,,Abu Salman Shahjahanpuri,,,,,,,,,
426,,,,,,,,,,,,,Wayne Terwilliger,,,,,,,,,
427,,,,,,,,,,,,,Bob McCallister,,,,,,,,,
428,,,,,,,,,,,,,Simeon Nyachae,,,,,,,,,
429,,,,,,,,,,,,,Dustin Diamond,,,,,,,,,
430,,,,,,,,,,,,,Maureen Colquhoun,,,,,,,,,
431,,,,,,,,,,,,,Nominate an article,,,,,,,,,
432,,,,,,,,,,,,,"1801 – John Marshall, whose court opinions helped lay the basis for U.S. constitutional law and made the Supreme Court a coequal branch of government, took office as chief justice.",,,,,,,,,
433,,,,,,,,,,,,,"1859 – Constantin von Tischendorf rediscovered the Codex Sinaiticus (text sample pictured), a 4th-century great uncial codex of the Bible in Greek, in Saint Catherine's Monastery, Egypt.",,,,,,,,,
